kb,example_set,fold,zero_neg_train,n_train_pos,n_train_neg,n_test_pos,n_test_neg,n_test_total,negatives,condition,k,n_bias,size,desc_p,desc_r,desc_f1,clause_p,clause_r,clause_f1,sem_p,sem_r,sem_f1,exact_equiv,accuracy,tp,tn,fp,fn,specificity,n_mss,n_cover,n_support,n_kb,n_uncoverable,n_components,largest_component,n_greedy_fallback,stage1_ms,cover_ms,reduce_ms,total_ms,oracle_queries,stage1_batch_checks,checks_total,checks_gate,checks_admpool,checks_cover_rej,checks_cover_qx,checks_redundancy,preprocessing_checks,preprocessing_ms,memory_mb,convergence_reason,qa_max_queries,qa_timeout_s,quacq_bandaid_drops,quacq_findc_unconfirmed,quacq_empty_scope_appends,quacq_prune_partial_pruned,quacq_prune_complete_pruned
REAL-FM-7,2cov,0,0,0,6,0,3,3,n/a,A,,295,294,0.04421768707482993,1.0,0.08469055374592835,0.07664233576642336,0.9545454545454546,0.14189189189189189,0.08235294117647059,0.9545454545454546,0.1516245487364621,0,1.0,0,3,0,0,1.0,294,0,0,294,0,0,0,0,8.44033487373963,0.0,0.0,8.44033487373963,0,10,10,1,9,0,0,0,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,reduced,C,,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,8.44033487373963,56.04691698681563,0.0,64.48725186055526,0,10,1774,1,9,1764,0,0,48,17.042167019098997,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,reduced,C∪S,1,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,8.44033487373963,56.04691698681563,0.1972910249605775,64.68454288551584,0,10,1776,1,9,1764,0,2,48,17.042167019098997,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,reduced,C∪S,2,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,8.44033487373963,56.04691698681563,0.17616699915379286,64.66341885970905,0,10,1776,1,9,1764,0,2,48,17.042167019098997,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,reduced,C∪S,3,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,8.44033487373963,56.04691698681563,0.13045803643763065,64.61770989699289,0,10,1776,1,9,1764,0,2,48,17.042167019098997,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,reduced,C∪S,5,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,8.44033487373963,56.04691698681563,0.12229097774252295,64.60954283829778,0,10,1776,1,9,1764,0,2,48,17.042167019098997,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,raw,C,,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,10.39371092338115,56.075041997246444,0.0,66.4687529206276,0,10,1774,1,9,1764,0,0,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,raw,C∪S,1,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,10.39371092338115,56.075041997246444,0.21079200087115169,66.67954492149875,0,10,1776,1,9,1764,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,raw,C∪S,2,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,10.39371092338115,56.075041997246444,0.12912502279505134,66.59787794342265,0,10,1776,1,9,1764,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,raw,C∪S,3,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,10.39371092338115,56.075041997246444,0.1793749979697168,66.64812791859731,0,10,1776,1,9,1764,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,0,0,0,6,0,3,3,raw,C∪S,5,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,241,1,10.39371092338115,56.075041997246444,0.1394590362906456,66.60821195691824,0,10,1776,1,9,1764,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,1,0,0,6,0,3,3,n/a,A,,295,294,0.04421768707482993,1.0,0.08469055374592835,0.07664233576642336,0.9545454545454546,0.14189189189189189,0.08235294117647059,0.9545454545454546,0.1516245487364621,0,1.0,0,3,0,0,1.0,294,0,0,294,0,0,0,0,8.457290881779045,0.0,0.0,8.457290881779045,0,10,10,1,9,0,0,0,0,0.0,0.0,,,,,,,,
REAL-FM-7,2cov,1,0,0,6,0,3,3,reduced,C,,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,264,1,8.457290881779045,54.044166987296194,0.0,62.50145786907524,0,10,1774,1,9,1764,0,0,47,15.352834016084671,0.0,,,,,,,,
REAL-FM-7,2cov,1,0,0,6,0,3,3,reduced,C∪S,1,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,264,1,8.457290881779045,54.044166987296194,0.20691700046882033,62.70837486954406,0,10,1776,1,9,1764,0,2,47,15.352834016084671,0.0,,,,,,,,
REAL-FM-7,2cov,1,0,0,6,0,3,3,reduced,C∪S,2,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,264,1,8.457290881779045,54.044166987296194,0.1236249809153378,62.62508284999058,0,10,1776,1,9,1764,0,2,47,15.352834016084671,0.0,,,,,,,,
REAL-FM-7,2cov,1,0,0,6,0,3,3,reduced,C∪S,3,295,2,1.0,0.15384615384615385,0.2666666666666667,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,0,1.0,0,3,0,0,1.0,294,2,0,2,0,1,264,1,8.457290881779045,54.044166987296194,0.11845800327137113,62.61991587234661,0,10,1776,1,9,1764,0,2,47,15.352834016084671,0.0,,,,,,,,
