kb,example_set,fold,zero_neg_train,n_train_pos,n_train_neg,n_test_pos,n_test_neg,n_test_total,negatives,condition,k,n_bias,size,desc_p,desc_r,desc_f1,clause_p,clause_r,clause_f1,sem_p,sem_r,sem_f1,exact_equiv,accuracy,tp,tn,fp,fn,specificity,n_mss,n_cover,n_support,n_kb,n_uncoverable,n_components,largest_component,n_greedy_fallback,stage1_ms,cover_ms,reduce_ms,total_ms,oracle_queries,stage1_batch_checks,checks_total,checks_gate,checks_admpool,checks_cover_rej,checks_cover_qx,checks_redundancy,preprocessing_checks,preprocessing_ms,memory_mb,convergence_reason,qa_max_queries,qa_timeout_s,quacq_bandaid_drops,quacq_findc_unconfirmed,quacq_empty_scope_appends,quacq_prune_partial_pruned,quacq_prune_complete_pruned
arcade-game,2cov,0,0,0,8,1,5,6,n/a,A,,1755,1754,0.03819840364880274,0.9571428571428572,0.07346491228070175,0.07214765100671142,0.9923076923076923,0.13451511991657977,0.06942949407965554,0.9923076923076923,0.12977867203219315,0,0.8333333333333334,0,5,0,1,1.0,1754,0,0,1754,0,0,0,0,18.886955978814512,0.0,0.0,18.886955978814512,0,12,12,1,11,0,0,0,0,0.0,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,reduced,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.886955978814512,2293.8967919908464,0.0,2312.783747969661,0,12,14044,1,11,14032,0,0,84,135.3862069081515,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,reduced,C∪S,1,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.886955978814512,2293.8967919908464,0.4865420050919056,2313.270289974753,0,12,14045,1,11,14032,0,1,84,135.3862069081515,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,reduced,C∪S,2,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.886955978814512,2293.8967919908464,0.23962504928931594,2313.02337301895,0,12,14045,1,11,14032,0,1,84,135.3862069081515,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,reduced,C∪S,3,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.886955978814512,2293.8967919908464,0.24287501582875848,2313.0266229854897,0,12,14045,1,11,14032,0,1,84,135.3862069081515,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,reduced,C∪S,5,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.886955978814512,2293.8967919908464,0.2477919915691018,2313.03153996123,0,12,14045,1,11,14032,0,1,84,135.3862069081515,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,raw,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.453420198056847,2314.1766249900684,0.0,2332.630045188125,0,12,14044,1,11,14032,0,0,0,0.0,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,raw,C∪S,1,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.453420198056847,2314.1766249900684,0.34425000194460154,2332.97429519007,0,12,14045,1,11,14032,0,1,0,0.0,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,raw,C∪S,2,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.453420198056847,2314.1766249900684,0.31287502497434616,2332.9429202130996,0,12,14045,1,11,14032,0,1,0,0.0,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,raw,C∪S,3,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,1,5,0,0,1.0,1754,1,0,1,0,1,1642,1,18.453420198056847,2314.1766249900684,0.24529104121029377,2332.8753362293355,0,12,14045,1,11,14032,0,1,0,0.0,0.0,,,,,,,,
